"Season","Week","SeasonType","StartDate","StartTimeTBD","Completed","HomeId","HomeTeam","HomeClassification","HomeConference","HomePoints","HomeLineScores","HomePostgameWinProbability","HomePregameElo","HomePostgameElo","AwayId","AwayTeam","AwayClassification","AwayConference","AwayPoints","AwayLineScores","AwayPostgameWinProbability","AwayPregameElo","AwayPostgameElo","ExcitementIndex","Highlights","Notes"
"2025","1","regular","2025-08-30T17:00:00.000Z","false","true","2166","Davidson","fcs","Pioneer","14","7,7,0,0","0.01649528741836548","","","46","Georgetown","fcs","Patriot","51","20,18,7,6","0.9835047125816345","","","3.4222123258799364","",""
"2025","1","regular","2025-08-30T17:00:00.000Z","false","true","2805","Clark Atlanta","ii","SIAC","28","7,7,14,0","","","","2673","Valdosta State","ii","Gulf South","31","7,7,14,3","","","","","",""
"2025","1","regular","2025-08-30T18:00:00.000Z","false","true","2460","Northern Iowa","fcs","MVFC","38","10,7,14,7","0.9720423817634583","","","2086","Butler","fcs","Pioneer","14","7,7,0,0","0.027957618236541748","","","4.199711605356322","",""
"2025","1","regular","2025-08-30T18:00:00.000Z","false","true","277","West Virginia","fbs","Big 12","45","7,3,14,21","0.9934393763542175","1470","1470","2523","Robert Morris","fcs","NEC","3","0,3,0,0","0.006560623645782471","","","3.57973720985092","",""
"2025","1","regular","2025-08-30T18:00:00.000Z","false","true","231","Furman","fcs","Southern","23","7,7,3,6","0.5064640641212463","","","2729","William & Mary","fcs","CAA","21","0,7,14,0","0.49353593587875366","","","5.948320866010716","",""
"2025","1","regular","2025-08-30T18:00:00.000Z","false","true","41","UConn","fbs","FBS Independents","59","14,21,10,14","0.9877551794052124","1454","1454","2115","Central Connecticut","fcs","NEC","13","7,3,3,0","0.012244820594787598","","","3.95550409152391","",""
"2025","1","regular","2025-08-30T18:00:00.000Z","false","true","2529","Sacred Heart","fcs","FCS Independents","12","0,0,9,3","0.879280149936676","","","284","Stonehill","fcs","NEC","7","0,0,0,7","0.12071985006332397","","","5.1668181663474755","",""
"2025","1","regular","2025-08-30T18:00:00.000Z","false","true","2674","Valparaiso","fcs","Pioneer","67","13,13,35,6","0.9647611975669861","","","2355","Virginia University Of Lynchburg","","","10","0,10,0,0","0.035238802433013916","","","3.7348698232766466","",""
"2025","1","regular","2025-08-30T18:00:00.000Z","false","true","103","Boston College","fbs","ACC","66","14,7,24,21","0.9878271818161011","1508","1508","2230","Fordham","fcs","Patriot","10","3,0,0,7","0.012172818183898926","","","2.976087307715974","",""
"2025","1","regular","2025-08-30T18:00:00.000Z","false","true","2043","Augustana University (SD)","ii","Northern Sun","30","9,0,7,14","","","","137","Missouri Western","ii","Mid America","26","6,10,3,7","","","","","",""
"2025","1","regular","2025-08-30T18:00:00.000Z","false","true","2237","Fort Lewis","ii","Rocky Mountain","14","0,7,7,0","","","","2911","William Jewell","ii","Great Lakes","34","10,7,7,10","","","","","",""
"2025","1","regular","2025-08-30T18:00:00.000Z","false","true","2687","Washburn","ii","Mid America","20","0,17,0,3","","","","2654","Truman State","ii","Great Lakes","17","10,0,0,7","","","","","",""
"2025","1","regular","2025-08-30T18:30:00.000Z","false","true","84","Indiana","fbs","Big Ten","27","7,10,10,0","0.5844941139221191","1800","1800","295","Old Dominion","fbs","Sun Belt","14","7,0,0,7","0.41550588607788086","1480","1480","3.9242669449124707","",""
"2025","1","regular","2025-08-30T19:00:00.000Z","false","true","2296","Jackson State","fcs","SWAC","28","7,7,0,14","0.6636216640472412","","","2261","Hampton","fcs","CAA","14","7,0,0,7","0.3363783359527588","","","6.745220205799401","",""
"2025","1","regular","2025-08-30T19:00:00.000Z","false","true","97","Louisville","fbs","ACC","51","21,20,7,3","0.9598361849784851","1706","1706","2198","Eastern Kentucky","fcs","UAC","17","0,7,0,10","0.04016381502151489","","","3.0636716021323727","",""
"2025","1","regular","2025-08-30T19:00:00.000Z","false","true","60","Morehouse College","ii","SIAC","9","0,3,6,0","","","","2304","Johnson C Smith","ii","CIAA","45","13,13,12,7","","","","","",""
