HomeTeam,AwayTeam,HomePoints,AwayPoints,ActualSpread,Spread,Line,Result
UT Martin,Southeast Missouri State,34.0,10.0,24.0,-14.0,Southeast Missouri State -14.0,Wrong
Prairie View A&M,Grambling,28.0,13.0,15.0,-8.5,Grambling -8.5,Wrong
SE Louisiana,UT Rio Grande Valley,45.0,31.0,14.0,11.5,SE Louisiana -11.5,Correct
NC State,Virginia Tech,21.0,23.0,-2.0,12.0,NC State -12.0,Wrong
Southwestern Oklahoma State,Oklahoma Baptist,38.0,24.0,14.0,11.0,Southwestern Oklahoma State -11.0,Correct
Delta State,ERSKINE,52.0,0.0,52.0,21.5,Delta State -21.5,Correct
Southern,Jackson State,13.0,38.0,-25.0,-19.5,Jackson State -19.5,Correct
Alcorn State,Arkansas-Pine Bluff,20.0,24.0,-4.0,5.0,Alcorn State -5.0,Wrong
Henderson State,Southern Arkansas,21.0,24.0,-3.0,-1.0,Southern Arkansas -1.0,Correct
Findlay,Thomas More College,37.0,7.0,30.0,35.5,Findlay -35.5,Correct
Grove City College,Washington & Jefferson,14.0,34.0,-20.0,22.0,Grove City College -22.0,Wrong
Southern Miss,Jacksonville State,42.0,25.0,17.0,9.5,Southern Miss -9.5,Correct
Iowa State,Arizona,39.0,14.0,25.0,-3.5,Arizona -3.5,Wrong
Missouri State,Western Kentucky,22.0,27.0,-5.0,-3.0,Western Kentucky -3.0,Correct
UT Permian Basin,Midwestern State,37.0,15.0,22.0,31.5,UT Permian Basin -31.5,Correct
Incarnate Word,Abilene Christian,38.0,7.0,31.0,-22.0,Abilene Christian -22.0,Wrong
Calvin University,Kalamazoo,24.0,16.0,8.0,18.0,Calvin University -18.0,Correct
Eureka College,Aurora,0.0,66.0,-66.0,-46.0,Aurora -46.0,Correct
Florida Atlantic,Memphis,26.0,55.0,-29.0,-26.0,Memphis -26.0,Correct
East Texas A&M,North Carolina Central,42.0,50.0,-8.0,-10.5,North Carolina Central -10.5,Correct
Stanford,San José State,30.0,29.0,1.0,8.5,Stanford -8.5,Correct
