"Season","Week","SeasonType","StartDate","Completed","HomeTeam","HomePoints","AwayTeam","AwayPoints"
"2025","1","regular","2025-08-31T20:00:00.000Z","true","Virginia Union","45","Miles College","3"
"2025","1","regular","2025-08-31T23:00:00.000Z","true","Tuskegee","20","Winston-Salem","17"
"2025","1","regular","2025-08-31T23:30:00.000Z","true","Miami","27","Notre Dame","24"
"2025","1","regular","2025-09-02T00:00:00.000Z","true","North Carolina","14","TCU","48"
"2025","2","regular","2025-09-04T04:00:00.000Z","true","South Dakota Mines","9","Michigan Tech","45"
"2025","2","regular","2025-09-04T22:00:00.000Z","true","West Virginia Wesleyan","20","Clarion","48"
"2025","2","regular","2025-09-04T22:00:00.000Z","true","PennWest California","23","University Of Charleston (WV)","19"
"2025","2","regular","2025-09-04T22:00:00.000Z","true","North Carolina Wesleyan","64","Averett","12"
"2025","2","regular","2025-09-04T22:00:00.000Z","true","Wayne State (MI)","7","Tiffin","34"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Buffalo State","0","Brockport","41"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Wisconsin-Eau Claire","29","Carroll University (WI)","7"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Lebanon Valley","21","Franklin & Marshall","31"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Southern Arkansas","49","Oklahoma Baptist","14"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Henderson State","48","Southern Nazarene","13"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Indiana-Pennsylvania","9","Ashland","13"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Texas Lutheran","14","Trinity University TX","26"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Fairmont State","41","Bloomsburg","40"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Valley City State","27","Augsburg","0"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Southwestern Oklahoma State","10","Arkansas Tech","32"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Southeastern Oklahoma State","44","Arkansas-Monticello","13"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Westminster (PA)","8","Marietta","12"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Heidelberg","65","Hiram College","27"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Wilkes","19","Kings College (PA)","16"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Northwestern Oklahoma State","7","Harding University","49"
"2025","2","regular","2025-09-04T23:00:00.000Z","true","Millersville","34","Frostburg State","42"
"2025","2","regular","2025-09-04T23:05:00.000Z","true","East Stroudsburg University","31","Pace","12"
"2025","2","regular","2025-09-04T23:30:00.000Z","true","Kutztown University","51","Assumption","14"
"2025","2","regular","2025-09-05T00:00:00.000Z","true","CSU Pueblo","35","Fort Hays State","36"
"2025","2","regular","2025-09-05T00:00:00.000Z","true","East Central (OK)","24","Ouachita Baptist","22"
"2025","2","regular","2025-09-05T00:00:00.000Z","true","Cornell College (IA)","6","Coe College","62"
"2025","2","regular","2025-09-05T00:00:00.000Z","true","Howard Payne","21","Pacific (OR)","13"
"2025","2","regular","2025-09-05T00:00:00.000Z","true","Illinois College","28","Greenville","9"
"2025","2","regular","2025-09-05T00:00:00.000Z","true","West Texas A&M","31","Colorado School Of Mines","33"
"2025","2","regular","2025-09-05T00:00:00.000Z","true","Belhaven","50","Millsaps","24"
"2025","2","regular","2025-09-05T22:00:00.000Z","true","Merchant Marine Academy","29","Montclair State","15"
"2025","2","regular","2025-09-05T22:00:00.000Z","true","Thiel","8","Concordia-Wisconsin","27"
"2025","2","regular","2025-09-05T22:00:00.000Z","true","Franklin Pierce","13","Slippery Rock","24"
"2025","2","regular","2025-09-05T22:00:00.000Z","true","Curry College","35","Bridgewater State","28"
"2025","2","regular","2025-09-05T22:00:00.000Z","true","Randolph-Macon","48","Dickinson (PA)","34"
"2025","2","regular","2025-09-05T22:00:00.000Z","true","Gallaudet","7","Albright","9"
"2025","2","regular","2025-09-05T23:00:00.000Z","true","Alfred University","28","Hobart College","23"
"2025","2","regular","2025-09-05T23:00:00.000Z","true","Catholic","10","McDaniel College","7"
"2025","2","regular","2025-09-05T23:00:00.000Z","true","Louisville","28","James Madison","14"
"2025","2","regular","2025-09-05T23:00:00.000Z","true","St. Lawrence","19","Norwich","3"
"2025","2","regular","2025-09-05T23:00:00.000Z","true","Fitchburg State","49","Dean College","14"
"2025","2","regular","2025-09-05T23:00:00.000Z","true","Muhlenberg","38","Moravian","19"
"2025","2","regular","2025-09-05T23:00:00.000Z","true","Mass Maritime","14","SUNY Maritime","21"
"2025","2","regular","2025-09-05T23:00:00.000Z","true","Gettysburg","30","Juniata College","31"
"2025","2","regular","2025-09-05T23:30:00.000Z","true","Maryland","20","Northern Illinois","9"
"2025","2","regular","2025-09-05T23:30:00.000Z","true","Reading","17","Ursinus","41"
